organization,title,cause,skills,location,time_commitment,volunteers_needed,description,link,source,latitude,longitude
Toronto Cat Rescue,Foster Home Volunteer,animal-care,animal care;patience;responsibility,Toronto,Ongoing (in-home),12,"Provide temporary foster care for cats and kittens awaiting adoption, including feeding, socialization, and medication administration.",https://torontocatrescue.ca/volunteer,https://torontocatrescue.ca,43.6845,-79.3498
ArtHeart Community Art Centre,Arts Workshop Facilitator,arts-culture,art;teaching;creativity,Toronto,3 hours weekly,4,"Lead free drop-in art workshops for community members of all ages in Regent Park, including painting, drawing, and mixed media.",https://www.artheart.ca/volunteer,https://www.artheart.ca,43.6596,-79.3605
Evergreen Brick Works,Ravine Trail Restoration Volunteer,environment,physical fitness;teamwork;ecology,Toronto,3 hours per event,15,"Help restore native plant habitats, remove invasive species, and maintain trails in the Don Valley ravine system at Evergreen Brick Works.",https://www.evergreen.ca/get-involved/volunteer/,https://www.evergreen.ca,43.6847,-79.3651
Scarborough Health Network,Hospital Wayfinding Volunteer,healthcare,communication;empathy;customer service,Scarborough,4 hours weekly,10,"Welcome and guide patients and visitors through the hospital, providing directions, companionship, and emotional support.",https://www.shn.ca/volunteering/,https://www.shn.ca,43.7731,-79.2578
TIFF (Toronto International Film Festival),Festival Usher & Events Volunteer,arts-culture,customer service;communication;film knowledge,Toronto,Event-based (September),30,"Support one of the world's top film festivals by ushering screenings, managing queues, and assisting at industry events and galas.",https://www.tiff.net/volunteer,https://www.tiff.net,43.6465,-79.3882
Toronto Wildlife Centre,Wildlife Rehabilitation Volunteer,animal-care,animal handling;attention to detail;biology,Toronto,4 hours weekly,8,"Assist with the care and rehabilitation of injured, sick, and orphaned wild animals including feeding, cleaning, and medical support.",https://www.torontowildlifecentre.com/volunteer/,https://www.torontowildlifecentre.com,43.711,-79.3375
Sketch Working Arts,Youth Arts Mentor,arts-culture,art;mentoring;youth engagement,Toronto,3 hours weekly,5,"Mentor youth aged 16â€“29 experiencing homelessness through creative arts programs including visual arts, music, and digital media.",https://www.sketch.ca/get-involved/,https://www.sketch.ca,43.6622,-79.346
Friends of the Rouge Watershed,River Clean-Up Volunteer,environment,physical fitness;teamwork;environmental awareness,Scarborough,3 hours per event,20,"Participate in seasonal clean-up events along the Rouge River, removing litter and debris to protect Toronto's only national urban park.",https://www.frw.ca/volunteer,https://www.frw.ca,43.8041,-79.1783
SickKids Foundation,Patient & Family Volunteer,healthcare,empathy;communication;reliability,Toronto,3 hours weekly,10,"Brighten the days of young patients and their families by providing play support, reading, crafts, and companionship at SickKids Hospital.",https://www.sickkidsfoundation.com/get-involved/volunteer,https://www.sickkidsfoundation.com,43.6578,-79.3868
Code for Canada,Civic Tech Volunteer Developer,education,programming;web development;data analysis,Remote,3 hours weekly,6,Contribute to open-source civic technology projects that improve government services and community digital tools across Canada.,https://codefor.ca/volunteer,https://codefor.ca,43.651,-79.3752
Paws & Claws Animal Rescue,Pet Adoption Event Helper,animal-care,animal handling;customer service;event coordination,Mississauga,5 hours per event,8,"Help run weekend pet adoption events at local PetSmart and community centres â€” greeting visitors, handling animals, and processing applications.",https://www.pawsandclawsrescue.ca/volunteer,https://www.pawsandclawsrescue.ca,43.5789,-79.6584
Art Gallery of Ontario,Gallery Guide Volunteer,arts-culture,art history;public speaking;communication,Toronto,4 hours weekly,6,"Lead guided tours for visitors of all ages through the AGO's permanent collection and special exhibitions, sharing stories behind the art.",https://ago.ca/join-and-support/volunteer,https://ago.ca,43.6536,-79.3925
Toronto Environment Alliance,Climate Action Campaign Volunteer,environment,social media;writing;advocacy,Toronto,2 hours weekly,6,"Help run grassroots climate campaigns through community outreach, social media content creation, and participation in city council advocacy.",https://www.torontoenvironment.org/volunteer,https://www.torontoenvironment.org,43.664,-79.4094
North York General Hospital,Emergency Department Volunteer,healthcare,communication;empathy;stress management,North York,4 hours weekly,12,"Assist emergency department staff by helping with patient comfort, wayfinding, and providing emotional support to patients and families.",https://www.nygh.on.ca/about-us/get-involved/volunteer,https://www.nygh.on.ca,43.7668,-79.3436
Learning Disabilities Association of Ontario,Literacy Tutor,education,teaching;patience;literacy,Toronto,2 hours weekly,10,"Provide one-on-one literacy tutoring to adults and youth with learning disabilities, helping build reading and writing confidence.",https://www.ldao.ca/get-involved/volunteer/,https://www.ldao.ca,43.6629,-79.3957
Mississauga Humane Society,Dog Walking Volunteer,animal-care,animal handling;physical fitness;patience,Mississauga,2 hours weekly,8,Walk and socialize shelter dogs to improve their well-being and help them become more adoptable through positive human interaction.,https://www.mississaugahumanesociety.ca/volunteer,https://www.mississaugahumanesociety.ca,43.5635,-79.6107
Royal Ontario Museum,Education Program Volunteer,arts-culture,public speaking;history;communication,Toronto,4 hours weekly,8,Help deliver educational programs and interactive gallery activities for school groups and families at one of North America's largest museums.,https://www.rom.on.ca/en/join-us/volunteer,https://www.rom.on.ca,43.6677,-79.3948
FoodShare Toronto,Good Food Box Packing Volunteer,community,organization;teamwork;food handling,Toronto,3 hours monthly,15,"Help pack affordable fresh produce boxes for community distribution, supporting food access for low-income families across Toronto.",https://foodshare.net/volunteer/,https://foodshare.net,43.6809,-79.3521
United Way Greater Toronto,Community Outreach Volunteer,community,communication;outreach;teamwork,Toronto,3 hours weekly,10,"Support United Way's local poverty-reduction initiatives through door-to-door outreach, community engagement events, and fundraising drives.",https://www.unitedwaygt.org/volunteer,https://www.unitedwaygt.org,43.6481,-79.3856
YMCA of Greater Toronto,Youth Program Volunteer,community,leadership;mentoring;sports,Toronto,3 hours weekly,15,"Lead recreational and leadership activities for youth ages 6â€“17 at YMCA community centres, including sports, homework help, and crafts.",https://ymcagta.org/get-involved/volunteer,https://ymcagta.org,43.6547,-79.3813
WoodGreen Community Services,Newcomer Settlement Volunteer,community,multilingual;communication;empathy,Toronto,3 hours weekly,8,"Help newcomers navigate life in Canada with assistance in filling out forms, practising English, and connecting with community resources.",https://www.woodgreen.org/volunteer,https://www.woodgreen.org,43.6658,-79.3282
The Salvation Army Toronto,Soup Kitchen Server,community,food handling;teamwork;compassion,Toronto,3 hours per shift,12,Serve hot meals and provide a welcoming environment for individuals experiencing homelessness and food insecurity in downtown Toronto.,https://www.salvationarmy.ca/volunteer/,https://www.salvationarmy.ca,43.6553,-79.376
Covenant House Toronto,Youth Drop-In Volunteer,community,empathy;communication;cooking,Toronto,4 hours weekly,6,"Help youth experiencing homelessness by serving meals, organizing donation drives, and providing a safe and supportive presence at drop-in programs.",https://www.covenanthousetoronto.ca/get-involved/volunteer,https://www.covenanthousetoronto.ca,43.658,-79.3784
Yonge Street Mission,After-School Program Volunteer,education,teaching;mentoring;sports,Toronto,3 hours weekly,10,"Tutor and mentor children from low-income families through after-school homework help, recreation, and creative programming.",https://www.ysm.ca/get-involved/volunteer/,https://www.ysm.ca,43.6565,-79.3739
Frontier College,Adult Literacy Tutor,education,teaching;patience;communication,Toronto,2 hours weekly,15,Provide one-on-one and small group literacy tutoring to adults who are improving their reading and writing skills across the GTA.,https://www.frontiercollege.ca/Get-Involved/Volunteer,https://www.frontiercollege.ca,43.6618,-79.39
Junior Achievement Canada,Financial Literacy Classroom Volunteer,education,finance;public speaking;teaching,GTA,2 hours per session,20,"Teach financial literacy, entrepreneurship, and work-readiness programs to students in elementary and secondary schools across the GTA.",https://jacanada.org/get-involved/volunteer/,https://jacanada.org,43.6475,-79.3845
Pathways to Education,Academic Tutor,education,math;science;tutoring,Toronto,2 hours weekly,12,"Help high school students in underserved communities stay on track to graduate with weekly tutoring sessions in math, science, and English.",https://www.pathwaystoeducation.ca/volunteer,https://www.pathwaystoeducation.ca,43.663,-79.358
Teach for Canada,Indigenous Education Support Volunteer,education,teaching;cultural sensitivity;communication,Remote,5 hours weekly,6,"Support educational programming for Indigenous communities by assisting with remote tutoring, curriculum planning, and mentorship.",https://www.teachforcanada.ca/get-involved/,https://www.teachforcanada.ca,43.6535,-79.384
Sunnybrook Health Sciences Centre,Patient Visitor Volunteer,healthcare,empathy;communication;reliability,Toronto,3 hours weekly,15,"Visit patients who may not have family nearby, offering companionship, reading, and conversation to brighten their hospital stay.",https://sunnybrook.ca/content/?page=volunteers,https://sunnybrook.ca,43.7232,-79.3725
Mount Sinai Hospital,Information Desk Volunteer,healthcare,customer service;communication;multilingual,Toronto,4 hours weekly,8,"Greet and direct patients, visitors, and staff at the main information desk, providing a warm and helpful first impression.",https://www.mountsinai.on.ca/about_us/volunteer-services,https://www.mountsinai.on.ca,43.6575,-79.3905
Baycrest Health Sciences,Seniors Companion Volunteer,healthcare,empathy;patience;storytelling,Toronto,2 hours weekly,10,"Spend time with elderly residents through conversation, games, reading, and accompanied walks at Baycrest's long-term care facility.",https://www.baycrest.org/volunteer,https://www.baycrest.org,43.726,-79.4548
Alzheimer Society of Toronto,Caregiver Support Volunteer,healthcare,empathy;active listening;communication,Toronto,3 hours weekly,6,Provide respite and emotional support to caregivers of people living with dementia through group facilitation and one-on-one check-ins.,https://alz.to/get-involved/volunteer/,https://alz.to,43.7021,-79.3982
Canadian Mental Health Association â€“ Toronto,Peer Support Volunteer,healthcare,active listening;empathy;communication,Toronto,4 hours weekly,8,Provide peer support and community navigation to individuals experiencing mental health challenges through CMHA's community programs.,https://toronto.cmha.ca/get-involved/volunteer/,https://toronto.cmha.ca,43.6615,-79.347
Heart & Stroke Foundation,CPR Training Event Volunteer,healthcare,first aid;teaching;event planning,GTA,Event-based,10,Help organize and assist at community CPR training sessions to increase emergency preparedness and save lives across the GTA.,https://www.heartandstroke.ca/get-involved/volunteer,https://www.heartandstroke.ca,43.6601,-79.387
OSPCA (Ontario SPCA),Shelter Animal Enrichment Volunteer,animal-care,animal handling;creativity;patience,Newmarket,3 hours weekly,10,"Create and run enrichment activities for shelter animals including puzzle toys, socialization exercises, and basic training sessions.",https://ontariospca.ca/get-involved/volunteer/,https://ontariospca.ca,44.0592,-79.4613
Save Our Scruff,Rescue Dog Foster Volunteer,animal-care,animal care;patience;responsibility,Toronto,Ongoing (in-home),15,"Provide a temporary loving home for rescued dogs while they await their forever families, including feeding, walking, and basic training.",https://saveourscruff.ca/foster/,https://saveourscruff.ca,43.681,-79.349
Annex Cat Rescue,Trap-Neuter-Return Volunteer,animal-care,animal handling;driving;teamwork,Toronto,3 hours per event,6,Help humanely trap community cats for spay/neuter surgery and return them to their colonies to manage feral cat populations in Toronto.,https://www.annexcatrescue.ca/volunteer/,https://www.annexcatrescue.ca,43.671,-79.405
Dog Tales Rescue and Sanctuary,Animal Sanctuary Volunteer,animal-care,animal handling;physical fitness;farming,King City,4 hours per shift,12,"Help care for rescued dogs, horses, and farm animals at the sanctuary including feeding, grooming, exercising, and facility maintenance.",https://www.dogtales.ca/volunteer,https://www.dogtales.ca,43.9293,-79.5282
Toronto Botanical Garden,Garden Maintenance Volunteer,environment,gardening;botany;teamwork,Toronto,3 hours weekly,10,"Help maintain the botanical garden's themed gardens through weeding, planting, pruning, and assisting with seasonal horticultural displays.",https://torontobotanicalgarden.ca/get-involved/volunteer/,https://torontobotanicalgarden.ca,43.7334,-79.3601
High Park Nature Centre,Nature Walk Guide,environment,ecology;public speaking;hiking,Toronto,3 hours weekly,6,"Lead guided nature walks through High Park for families and school groups, teaching about local wildlife, trees, and seasonal ecology.",https://highparknaturecentre.com/volunteer/,https://highparknaturecentre.com,43.6465,-79.4637
Lake Ontario Waterkeeper,Water Quality Monitor,environment,data collection;science;kayaking,Toronto,3 hours per event,8,Collect water samples and monitor pollution levels at beaches and harbours along the Toronto waterfront to protect Lake Ontario.,https://www.waterkeeper.ca/get-involved,https://www.waterkeeper.ca,43.639,-79.37
City of Toronto,Urban Tree Planting Volunteer,environment,physical fitness;gardening;teamwork,Toronto,4 hours per event,25,"Plant native trees across Toronto neighbourhoods to increase urban canopy cover, improve air quality, and combat heat islands.",https://www.toronto.ca/explore-enjoy/parks-gardens-beaches/trees/tree-planting/,https://www.toronto.ca,43.6532,-79.3832
Not Far From The Tree,Fruit Picking Volunteer,environment,physical fitness;teamwork;organization,Toronto,3 hours per pick,10,"Harvest fruit from urban fruit trees across Toronto â€” one-third goes to the homeowner, one-third to a food bank, and one-third to volunteers.",https://notfarfromthetree.org/volunteer/,https://notfarfromthetree.org,43.6688,-79.42
Luminato Festival,Arts Festival Volunteer,arts-culture,customer service;communication;art,Toronto,Event-based (June),20,"Support Toronto's international arts festival by helping with front-of-house, artist hospitality, and audience engagement at various venues.",https://luminatofestival.com/get-involved#volunteer,https://luminatofestival.com,43.6394,-79.3822
Hot Docs,Documentary Film Festival Volunteer,arts-culture,film;customer service;communication,Toronto,Event-based (Aprilâ€“May),15,"Help run North America's largest documentary film festival by ushering screenings, managing Q&As, and supporting the box office.",https://www.hotdocs.ca/get-involved/volunteer,https://www.hotdocs.ca,43.6635,-79.4101
Harbourfront Centre,Cultural Events Volunteer,arts-culture,event planning;communication;customer service,Toronto,4 hours per event,12,"Assist with cultural events, concerts, and art installations along Toronto's waterfront at one of the city's premier arts venues.",https://harbourfrontcentre.com/volunteer/,https://harbourfrontcentre.com,43.6374,-79.3837
Toronto Symphony Orchestra,Concert Usher Volunteer,arts-culture,customer service;music appreciation;reliability,Toronto,3 hours per concert,8,"Welcome concert-goers, distribute programs, and assist with seating at Roy Thomson Hall for one of Canada's premier orchestras.",https://www.tso.ca/support-us/volunteer,https://www.tso.ca,43.6466,-79.3866
Canadian Opera Company,Opera House Volunteer,arts-culture,customer service;communication;arts appreciation,Toronto,3 hours per performance,6,"Support performances at the Four Seasons Centre by assisting with audience services, backstage tours, and community outreach events.",https://www.coc.ca/support-us/volunteer,https://www.coc.ca,43.6508,-79.3863
St. John Ambulance,Community First Aid Volunteer,healthcare,first aid;communication;teamwork,GTA,4 hours per event,20,"Provide first aid coverage at community events, marathons, and festivals across the GTA, ensuring safety for participants and spectators.",https://www.sja.ca/en/get-involved/volunteer,https://www.sja.ca,43.6605,-79.381
Aga Khan Museum,Museum Docent Volunteer,arts-culture,art history;public speaking;cultural knowledge,Toronto,4 hours per shift,5,"Lead tours and engage visitors with the art, heritage, and culture of Muslim civilizations at the Aga Khan Museum.",https://agakhanmuseum.org/visit/volunteer,https://agakhanmuseum.org,43.7258,-79.3366
Brampton Animal Services,Shelter Cat Socializer,animal-care,animal handling;patience;attention to detail,Brampton,2 hours weekly,8,Spend time socializing shelter cats to help them become more comfortable around people and increase their chances of adoption.,https://www.brampton.ca/EN/residents/Animal-Services/Pages/Volunteer.aspx,https://www.brampton.ca,43.7315,-79.7624
The Stop Community Food Centre,Community Kitchen Volunteer,community,cooking;food safety;teamwork,Toronto,3 hours per session,6,"Help prepare nutritious community meals, assist with cooking programs, and support food-access initiatives in the Davenport neighbourhood.",https://www.thestop.org/get-involved/volunteer/,https://www.thestop.org,43.677,-79.4448
Eva's Initiatives for Homeless Youth,Life Skills Workshop Volunteer,community,mentoring;teaching;communication,Toronto,3 hours weekly,5,"Facilitate life skills workshops for youth experiencing homelessness, covering topics like budgeting, cooking, resume writing, and job readiness.",https://www.evas.ca/get-involved/volunteer/,https://www.evas.ca,43.6747,-79.4154
Central Toronto Youth Services,LGBTQ+ Youth Group Facilitator,community,facilitation;empathy;cultural sensitivity,Toronto,3 hours weekly,4,"Co-facilitate weekly social and support groups for LGBTQ+ youth ages 13â€“24, creating safe spaces for connection and personal growth.",https://www.ctys.org/get-involved/volunteer/,https://www.ctys.org,43.669,-79.3868
Scarborough Centre for Healthy Communities,Tax Clinic Volunteer,community,accounting;communication;attention to detail,Scarborough,3 hours per session,8,"Help low-income community members file their taxes for free during tax season, ensuring they access all eligible credits and benefits.",https://www.schcontario.ca/volunteer.html,https://www.schcontario.ca,43.7731,-79.2578
Nature Conservancy of Canada â€“ Ontario,Conservation Area Steward,environment,ecology;physical fitness;data collection,GTA,4 hours per event,12,"Help maintain protected natural areas through invasive species removal, habitat restoration, and wildlife monitoring across Ontario.",https://www.natureconservancy.ca/en/where-we-work/ontario/volunteer/,https://www.natureconservancy.ca,43.7101,-79.399
Ontario Nature,Citizen Science Volunteer,environment,biology;data collection;photography,GTA,2 hours per event,15,"Contribute to biodiversity research by participating in bird counts, amphibian surveys, and plant identification programs across Ontario.",https://ontarionature.org/programs/citizen-science/,https://ontarionature.org,43.6632,-79.392
Rouge National Urban Park,Park Ambassador Volunteer,environment,communication;hiking;ecology,Scarborough,3 hours per shift,10,"Welcome visitors, share information about the park's ecology and Indigenous history, and help with trail maintenance at Canada's first national urban park.",https://parks.canada.ca/pn-np/on/rouge/activ/benevoles-volunteers,https://parks.canada.ca,43.815,-79.172
Downsview Park,Urban Farm Volunteer,environment,gardening;farming;teamwork,North York,3 hours weekly,8,"Help grow organic produce at the urban farm, assist with composting programs, and support food-growing workshops for the community.",https://downsviewpark.ca/volunteering/,https://downsviewpark.ca,43.748,-79.4793
William Osler Health System,Hospital Gift Shop Volunteer,healthcare,retail;customer service;organization,Brampton,3 hours weekly,6,"Operate the hospital gift shop, assist customers, manage inventory, and provide a cheerful presence for patients and visitors.",https://www.williamoslerhs.ca/about-osler/get-involved/volunteer,https://www.williamoslerhs.ca,43.7145,-79.763
Trillium Health Partners,Patient Navigation Volunteer,healthcare,communication;empathy;organization,Mississauga,4 hours weekly,10,"Guide patients through the healthcare system, help them understand their care plan, and reduce anxiety during their hospital visit.",https://trilliumhealthpartners.ca/get-involved/volunteer,https://trilliumhealthpartners.ca,43.5891,-79.6441
Markham Stouffville Hospital,Therapeutic Recreation Volunteer,healthcare,music;art;empathy,Markham,2 hours weekly,5,"Lead therapeutic music, art, and recreational sessions for patients in rehabilitation and long-term care at Markham Stouffville Hospital.",https://www.msh.on.ca/about-us/volunteer,https://www.msh.on.ca,43.8788,-79.2623
Sheridan Nurseries Foundation,Community Greening Volunteer,environment,gardening;physical fitness;ecology,Mississauga,3 hours per event,15,"Help plant trees and shrubs in underserved neighbourhoods, beautify parks, and support community greening initiatives across the GTA.",https://sheridannurseries.com/community/,https://sheridannurseries.com,43.589,-79.6441
Bata Shoe Museum,Gallery Assistant Volunteer,arts-culture,art history;customer service;communication,Toronto,3 hours per shift,4,"Assist with visitor engagement, gallery education, and special events at this unique museum dedicated to the history of footwear.",https://batashoemuseum.ca/get-involved/,https://batashoemuseum.ca,43.6672,-79.4002
Power Plant Contemporary Art Gallery,Exhibition Volunteer,arts-culture,contemporary art;communication;customer service,Toronto,3 hours per shift,5,"Support exhibition openings, public programs, and educational tours at Toronto's leading public gallery for contemporary art.",https://www.thepowerplant.org/support/volunteer/,https://www.thepowerplant.org,43.6385,-79.381
Toronto Alliance for the Performing Arts,Theatre Outreach Volunteer,arts-culture,theatre;marketing;communication,Toronto,3 hours weekly,5,"Help promote local theatre productions, distribute marketing materials, and support community engagement for indie performing arts companies.",https://tapa.ca/get-involved/volunteer/,https://tapa.ca,43.6591,-79.3808
Rescuing Unwanted Furry Friends (RUFF),Transport Volunteer,animal-care,driving;animal handling;time management,GTA,2 hours per transport,8,"Drive rescued animals to vet appointments, foster homes, and adoption events across the GTA to support rescue operations.",https://www.rfruff.com/volunteer,https://www.rfruff.com,43.678,-79.412
Vaughan Animal Services,Kennel Assistant Volunteer,animal-care,animal care;cleaning;teamwork,Vaughan,3 hours weekly,6,"Help maintain kennel cleanliness, feed and water animals, assist with basic grooming, and support adoption services at the shelter.",https://www.vaughan.ca/community/animal-services,https://www.vaughan.ca,43.8361,-79.4983
Dixon Hall,Meals on Wheels Delivery Volunteer,community,driving;compassion;time management,Toronto,2 hours per delivery,12,"Deliver nutritious meals to homebound seniors and individuals with disabilities across Toronto, providing a friendly check-in with each delivery.",https://dixonhall.org/get-involved/volunteer/,https://dixonhall.org,43.6636,-79.3604
Community Food Centres Canada,Cooking Workshop Facilitator,community,cooking;teaching;food safety,Toronto,3 hours per workshop,4,"Lead cooking workshops that teach nutritious meal preparation on a budget, helping community members build confidence in the kitchen.",https://cfccanada.ca/en/Get-Involved/Volunteer,https://cfccanada.ca,43.66,-79.35
Roncesvalles Village BIA,Neighbourhood Beautification Volunteer,community,gardening;teamwork;community engagement,Toronto,2 hours per event,15,"Help plant flowers, maintain public gardens, and organize street clean-ups in the Roncesvalles Village neighbourhood.",https://www.roncesvallesvillage.ca/get-involved/,https://www.roncesvallesvillage.ca,43.6479,-79.4489
Christie Ossington Neighbourhood Centre,ESL Conversation Circle Volunteer,education,English;patience;communication,Toronto,2 hours weekly,6,"Lead or co-facilitate English conversation circles for newcomers, helping them practise everyday English in a supportive group setting.",https://www.conc.ca/volunteer/,https://www.conc.ca,43.663,-79.429
Seneca Polytechnic Volunteer Centre,Student Peer Tutor,education,tutoring;subject expertise;communication,North York,2 hours weekly,10,"Provide peer tutoring to fellow students in subjects like math, writing, accounting, and technology at Seneca's campus learning centres.",https://www.senecapolytechnic.ca/student-services-and-support/student-life/volunteer.html,https://www.senecapolytechnic.ca,43.796,-79.349
Evergreen CityWorks,Urban Design Workshop Volunteer,education,design thinking;facilitation;urban planning,Toronto,3 hours per workshop,5,"Help facilitate community urban design workshops where residents envision improvements for their streetscapes, parks, and public spaces.",https://www.evergreen.ca/cityworks/,https://www.evergreen.ca,43.6847,-79.3651
March of Dimes Canada,Accessible Transportation Volunteer,healthcare,driving;patience;compassion,GTA,4 hours per shift,10,"Drive individuals with disabilities to medical appointments, social events, and errands using accessible vehicles across the GTA.",https://www.marchofdimes.ca/en-ca/getinvolved/volunteer/,https://www.marchofdimes.ca,43.649,-79.386
Casey House,Comfort Care Volunteer,healthcare,empathy;communication;reliability,Toronto,3 hours weekly,6,"Provide comfort, companionship, and practical support to individuals living with HIV/AIDS at Canada's only stand-alone HIV/AIDS hospital.",https://www.caseyhouse.com/get-involved/volunteer/,https://www.caseyhouse.com,43.6611,-79.3667
Holland Bloorview Kids Rehabilitation Hospital,Social Recreation Volunteer,healthcare,creativity;patience;communication,Toronto,2 hours weekly,8,"Engage children and youth with disabilities in recreational activities including games, music, art, and sports at Holland Bloorview.",https://hollandbloorview.ca/support-our-work/volunteer,https://hollandbloorview.ca,43.7316,-79.3557
Scarborough Arts,Community Arts Event Volunteer,arts-culture,event planning;communication;arts,Scarborough,3 hours per event,10,"Support local arts events, exhibitions, and festivals celebrating Scarborough's diverse cultural communities and emerging artists.",https://scarborougharts.com/get-involved/,https://scarborougharts.com,43.7731,-79.2578
Nuit Blanche Toronto,All-Night Art Festival Volunteer,arts-culture,customer service;communication;endurance,Toronto,6 hours per event (overnight),50,"Support Toronto's free all-night contemporary art event by guiding visitors, managing installations, and ensuring a safe experience across the city.",https://www.toronto.ca/explore-enjoy/festivals-events/nuitblanche/volunteer/,https://www.toronto.ca,43.6532,-79.3832
Burlington Humane Society,Small Animal Care Volunteer,animal-care,animal handling;attention to detail;patience,Burlington,3 hours weekly,6,"Help care for rabbits, guinea pigs, and other small animals at the shelter, including feeding, cleaning, socialization, and adoption support.",https://burlingtonhumane.ca/volunteer/,https://burlingtonhumane.ca,43.3255,-79.799
Oakville & Milton Humane Society,Dog Obedience Class Assistant,animal-care,dog training;communication;patience,Oakville,2 hours weekly,4,"Assist certified trainers in dog obedience classes for shelter dogs and newly adopted pets, helping them learn basic commands and manners.",https://omhs.ca/get-involved/volunteer/,https://omhs.ca,43.4675,-79.6877
Credit Valley Conservation,Stream Restoration Volunteer,environment,physical fitness;ecology;teamwork,Mississauga,3 hours per event,20,"Help restore stream banks and riparian zones in the Credit River watershed through planting, erosion control, and invasive species removal.",https://cvc.ca/get-involved/volunteer/,https://cvc.ca,43.5451,-79.6603
Toronto and Region Conservation Authority,Park Trail Builder,environment,physical fitness;carpentry;teamwork,GTA,4 hours per event,15,"Build and maintain hiking trails, boardwalks, and bridges in conservation areas throughout the GTA to improve public access to nature.",https://trca.ca/get-involved/volunteer/,https://trca.ca,43.707,-79.346
Pollinator Partnership Canada,Pollinator Garden Installer,environment,gardening;ecology;physical fitness,Toronto,3 hours per event,10,"Help install pollinator-friendly gardens in schools, parks, and community spaces to support bees, butterflies, and other vital pollinators.",https://pollinatorpartnership.ca/en/gardening-for-pollinators,https://pollinatorpartnership.ca,43.659,-79.393
Dress for Success Toronto,Career Coach Volunteer,community,coaching;fashion;communication,Toronto,3 hours per session,6,"Help women entering the workforce select professional attire, build interview confidence, and develop career-readiness skills.",https://toronto.dressforsuccess.org/get-involved/volunteer/,https://toronto.dressforsuccess.org,43.6557,-79.3811
